file,page,sequence_on_page,label_from_pdf,crop_box_pdf_points,output_width_px,output_height_px
P02-01_京通首页.png,2,1,京通首页,"174.5,0.0,423.0,540.0",497,1080
P02-02_全部服务页.png,2,2,全部服务页,"535.2,0.0,783.7,540.0",498,1080
P04-01_开屏页.png,4,1,开屏页,"119.4,0.0,422.8,540.0",608,1080
P04-02_站区切换页.png,4,2,站区切换页,"536.0,0.0,840.0,540.0",608,1080
P05-01_首页.png,5,1,首页,"119.0,0.0,423.0,540.0",608,1080
P05-02_站区切换页.png,5,2,站区切换页,"536.0,0.0,840.0,540.0",608,1080
P06-01_站区切换页.png,6,1,站区切换页,"119.0,0.0,423.0,540.0",608,1080
P06-02_站区切换页.png,6,2,站区切换页,"536.0,0.0,840.0,540.0",608,1080
P07-01_导航指引页.png,7,1,导航指引页,"119.0,0.0,423.0,540.0",608,1080
P07-02_导航指引页.png,7,2,导航指引页,"536.0,0.0,840.0,540.0",608,1080
P08-01_导航指引页.png,8,1,导航指引页,"119.0,0.0,423.0,540.0",608,1080
P08-02_导航指引页.png,8,2,导航指引页,"536.0,0.0,840.0,540.0",608,1080
P09-01_站区公告页.png,9,1,站区公告页,"119.0,0.0,423.0,540.0",608,1080
P09-02_站区公告页.png,9,2,站区公告页,"536.0,0.0,840.0,540.0",608,1080
P10-01_出租接驳页.png,10,1,出租接驳页,"119.0,0.0,423.0,540.0",608,1080
P10-02_网约接驳页.png,10,2,网约接驳页,"536.0,0.0,840.0,540.0",608,1080
P11-01_地铁接驳页.png,11,1,地铁接驳页,"119.0,0.0,423.0,540.0",608,1080
P11-02_公交接驳页.png,11,2,公交接驳页,"536.0,0.0,840.0,540.0",608,1080
P12-01_综合推荐页.png,12,1,综合推荐页,"119.0,0.0,423.0,540.0",608,1080
P12-02_其他交通页.png,12,2,其他交通页,"536.0,0.0,840.0,540.0",608,1080
P13-01_停车指引页.png,13,1,停车指引页,"119.0,0.0,423.0,540.0",608,1080
P13-02_停车指引页.png,13,2,停车指引页,"536.0,0.0,840.0,540.0",608,1080
P14-01_停车指引页.png,14,1,停车指引页,"119.0,0.0,423.0,540.0",608,1080
P15-01_投诉建议页.png,15,1,投诉建议页,"119.0,0.0,423.0,540.0",608,1080
P15-02_投诉建议页.png,15,2,投诉建议页,"536.0,0.0,840.0,540.0",608,1080
P16-01_投诉建议页.png,16,1,投诉建议页,"119.0,0.0,423.0,540.0",608,1080
P16-02_投诉建议页.png,16,2,投诉建议页,"536.0,0.0,840.0,540.0",608,1080
P17-01_旅客设置页.png,17,1,旅客设置页,"119.0,0.0,423.0,540.0",608,1080
P17-02_旅客设置页.png,17,2,旅客设置页,"536.0,0.0,840.0,540.0",608,1080
P19-01_车站排队情况-左.png,19,1,车站排队情况-左,"0.0,0.0,304.0,540.0",608,1080
P19-02_车站排队情况-中.png,19,2,车站排队情况-中,"328.0,0.0,632.0,540.0",608,1080
P19-03_车站排队情况-右.png,19,3,车站排队情况-右,"656.0,0.0,960.0,540.0",608,1080
P20-01_场站详情页.png,20,1,场站详情页,"119.0,0.0,423.0,540.0",608,1080
P20-02_场站详情页.png,20,2,场站详情页,"536.0,0.0,840.0,540.0",608,1080
P21-01_场站详情页.png,21,1,场站详情页,"119.0,0.0,423.0,540.0",608,1080
P21-02_短途复载页.png,21,2,短途复载页,"536.0,0.0,840.0,540.0",608,1080
P22-01_短途复载页.png,22,1,短途复载页,"119.0,0.0,423.0,540.0",608,1080
P22-02_短途复载页.png,22,2,短途复载页,"536.0,0.0,840.0,540.0",608,1080
P23-01_短途复载页.png,23,1,短途复载页,"119.0,0.0,423.0,540.0",608,1080
P23-02_短途复载页.png,23,2,短途复载页,"536.0,0.0,840.0,540.0",608,1080
P24-01_的士之家页.png,24,1,的士之家页,"119.0,0.0,423.0,540.0",608,1080
P24-02_的士之家页.png,24,2,的士之家页,"536.0,0.0,840.0,540.0",608,1080
P25-01_的士之家页.png,25,1,的士之家页,"119.0,0.0,423.0,540.0",608,1080
P25-02_的士之家页.png,25,2,的士之家页,"536.0,0.0,840.0,540.0",608,1080
P26-01_的士之家页.png,26,1,的士之家页,"119.0,0.0,423.0,540.0",608,1080
P26-02_个人中心页.png,26,2,个人中心页,"536.0,0.0,840.0,540.0",608,1080
P27-01_个人中心页.png,27,1,个人中心页,"119.0,0.0,423.0,540.0",608,1080
P27-02_个人中心页.png,27,2,个人中心页,"536.0,0.0,840.0,540.0",608,1080
